                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.2692,                 5.0879,                  1.248,                 1.2522,                 5.3168,                 1.1979,                0.00263,                 0.0677,                0.00775,                 0.0064,                 1.0185,                 5.0956,                  1.115,                 1.0641,                 5.2831,                 1.1197,             3.8487e-05,             3.8487e-05,             3.8487e-05
                     23,                 1.4105,                 5.1236,                 1.3725,                 1.3439,                 5.3205,                 1.2847,                0.00258,                0.07896,                0.00798,                0.00664,                 1.0208,                 5.0767,                 1.1146,                 1.0447,                 5.2632,                 1.1144,              3.959e-05,              3.959e-05,              3.959e-05
                     24,                 1.3624,                 5.1712,                 1.2931,                 1.3331,                 5.3668,                 1.2049,                0.00283,                0.08794,                0.00834,                0.00707,                 1.0288,                 5.0537,                  1.112,                 1.0424,                 5.2378,                 1.1072,             4.0633e-05,             4.0633e-05,             4.0633e-05
                     25,                  1.224,                 5.1932,                 1.2691,                 1.2039,                 5.2828,                 1.1993,                0.00288,                0.08865,                0.00849,                0.00728,                 1.0435,                 5.0353,                  1.119,                  1.046,                  5.204,                 1.1029,             4.1618e-05,             4.1618e-05,             4.1618e-05
                     26,                 1.3427,                 5.1143,                 1.3051,                 1.2835,                 5.2787,                  1.174,                0.00298,                0.08879,                  0.009,                0.00765,                 1.0546,                 5.0084,                 1.1163,                 1.0512,                 5.1753,                 1.1001,             4.2543e-05,             4.2543e-05,             4.2543e-05
                     27,                 1.2348,                 5.2527,                 1.2686,                 1.2601,                 5.3236,                 1.2136,                0.00305,                0.08888,                0.00917,                0.00782,                 1.0512,                 4.9884,                 1.1185,                 1.0396,                  5.147,                 1.0996,             4.3408e-05,             4.3408e-05,             4.3408e-05
                     28,                 1.2752,                 5.1068,                 1.2853,                 1.2132,                 5.2745,                 1.2119,                0.00391,                0.09599,                0.01011,                0.00875,                 1.0441,                 4.9552,                 1.1096,                 1.0277,                 5.1185,                 1.0989,             4.4214e-05,             4.4214e-05,             4.4214e-05
                     29,                 1.2002,                 5.0524,                  1.184,                 1.1932,                  5.229,                 1.1159,                0.00391,                0.09599,                0.01011,                0.00875,                 1.0441,                 4.9552,                 1.1096,                 1.0277,                 5.1185,                 1.0989,             4.4961e-05,             4.4961e-05,             4.4961e-05
                     30,                 1.1907,                 4.9765,                 1.2287,                 1.1814,                  5.162,                 1.2027,                0.00325,                0.09683,                0.01054,                0.00936,                 1.0413,                 4.9275,                 1.1091,                 1.0305,                 5.0879,                 1.0956,             4.5648e-05,             4.5648e-05,             4.5648e-05
                     31,                 1.2652,                 5.1114,                 1.2164,                 1.2673,                 5.1721,                 1.1491,                0.00336,                0.09863,                 0.0107,                0.00946,                 1.0334,                 4.8999,                 1.1037,                 1.0227,                 5.0587,                 1.0893,             4.6276e-05,             4.6276e-05,             4.6276e-05
