                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5592,                 3.9755,                 1.2995,                0.44116,                0.49994,                0.41276,                0.25361,                 1.3612,                 2.4093,                 1.1522,             9.7459e-05,             9.7459e-05,             9.7459e-05
                      2,                 1.3552,                 1.9302,                 1.1588,                0.79141,                0.78462,                0.85298,                0.53873,                 1.2688,                 1.1745,                 1.1316,             0.00019449,             0.00019449,             0.00019449
