                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1374,                 4.8381,                 1.1471,                 1.0999,                 4.8786,                 1.0724,                0.01467,                0.10171,                0.04508,                0.03912,                0.99173,                 4.3814,                  1.074,                0.94233,                 4.3741,                 1.0204,                1.6e-06,                1.6e-06,                1.6e-06
                      2,                 1.1175,                 4.7885,                 1.1675,                  1.077,                 4.7631,                 1.0895,                 0.0147,                0.10332,                0.04503,                0.03903,                0.99554,                  4.386,                 1.0796,                0.94031,                 4.3757,                 1.0144,             3.9505e-06,             3.9505e-06,             3.9505e-06
                      3,                 1.2568,                 4.8605,                 1.2119,                 1.1981,                 4.8249,                 1.1236,                0.01461,                0.10407,                0.04507,                 0.0391,                0.99973,                 4.3913,                 1.0869,                0.94562,                 4.3755,                 1.0192,             6.2416e-06,             6.2416e-06,             6.2416e-06
                      4,                 1.2714,                 4.7021,                 1.3271,                 1.1846,                 4.8214,                 1.2507,                0.01365,                0.09999,                 0.0445,                0.03857,                0.99915,                 4.3753,                 1.0832,                0.95431,                 4.3477,                 1.0148,             8.4733e-06,             8.4733e-06,             8.4733e-06
                      5,                 1.2082,                 5.0826,                 1.1736,                 1.1946,                 5.0626,                 1.0912,                0.01403,                0.09889,                0.04509,                0.03913,                0.99249,                 4.3778,                 1.0837,                0.95376,                 4.3476,                 1.0106,             1.0646e-05,             1.0646e-05,             1.0646e-05
                      6,                 1.1303,                 4.6985,                  1.207,                 0.9955,                 4.8394,                 1.1374,                0.01382,                0.09888,                0.04557,                0.03952,                0.99432,                 4.3741,                 1.0837,                 0.9466,                 4.3539,                 1.0076,             1.2759e-05,             1.2759e-05,             1.2759e-05
                      7,                 1.2407,                 4.9193,                 1.2058,                 1.2459,                 4.8429,                 1.1131,                0.00966,                0.09888,                0.04421,                0.03831,                0.99766,                 4.3755,                 1.0898,                0.94619,                 4.3482,                 1.0093,             1.4812e-05,             1.4812e-05,             1.4812e-05
                      8,                 1.2503,                 4.6812,                 1.1878,                 1.2218,                  4.664,                 1.1154,                0.00965,                0.09892,                0.04462,                0.03876,                 1.0008,                 4.3747,                 1.0913,                   0.95,                 4.3422,                 1.0075,             1.6806e-05,             1.6806e-05,             1.6806e-05
                      9,                 1.2039,                 4.7692,                 1.2021,                 1.1716,                 4.9055,                 1.1037,                0.01084,                0.11165,                0.05472,                0.04628,                0.99792,                 4.3628,                 1.0863,                0.95277,                 4.3239,                 1.0063,             1.8741e-05,             1.8741e-05,             1.8741e-05
                     10,                 1.1781,                 4.8301,                 1.1846,                 1.1869,                 4.7491,                 1.1103,                0.01074,                0.11169,                0.05502,                0.04666,                  0.998,                 4.3617,                 1.0863,                0.95155,                 4.3194,                  1.006,             2.0616e-05,             2.0616e-05,             2.0616e-05
